Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1		Chrom.1	
UV		Cond		Conc B		Injection		Fraction		"UV_CUT_TEMP@100,BASEM (1)"		Run Log	
ml	mAU	ml	mS/cm	ml	%	ml	Injection	ml	Fraction	ml	mAU	ml	Logbook
-171.714676	1.138951	-171.714676	27.804688	-170.835037	100					3.518326	-0.029777		
-171.701355	1.131672	-171.701355	27.805672	-170.818375	100					3.531647	-0.029752		
-171.688034	1.124445	-171.688034	27.807299	-170.801712	100					3.544968	-0.029727		
-171.674698	1.12009	-171.674698	27.807287	-170.785065	100					3.558304	-0.029702		
-171.661377	1.112509	-171.661377	27.804668	-170.768402	100					3.571625	-0.029677		
-171.648056	1.103957	-171.648056	27.8029	-170.75174	100					3.584946	-0.029651		
-171.63472	1.095168	-171.63472	27.801029	-170.735077	100					3.598282	-0.029626		
-171.621399	1.091192	-171.621399	27.799217	-170.718414	100					3.611603	-0.029589		
-171.608063	1.087472	-171.608063	27.797791	-170.701767	100					3.624939	-0.029551		
-171.594742	1.079923	-171.594742	27.795052	-170.685104	100					3.63826	-0.029514		
-171.581421	1.072043	-171.581421	27.790886	-170.668442	100					3.651581	-0.029477		
-171.568085	1.0631	-171.568085	27.785851	-170.651779	100					3.664917	-0.029439		
-171.554764	1.055511	-171.554764	27.782393	-170.635132	100					3.678238	-0.029402		
-171.541428	1.048333	-171.541428	27.779963	-170.618469	100					3.691574	-0.029364		
-171.528107	1.037395	-171.528107	27.778704	-170.601807	100					3.704895	-0.029327		
-171.514786	1.030306	-171.514786	27.776522	-170.585144	100					3.718216	-0.029289		
-171.50145	1.023413	-171.50145	27.77404	-170.568497	100					3.731552	-0.029252		
-171.488129	1.016861	-171.488129	27.772507	-170.551834	100					3.744873	-0.029227		
-171.474792	1.012908	-171.474792	27.772676	-170.535172	100					3.758209	-0.029203		
-171.461472	1.007759	-171.461472	27.773857	-170.518509	100					3.77153	-0.029179		
-171.448151	0.999747	-171.448151	27.774899	-170.501862	100					3.784851	-0.029154		
-171.434814	0.992822	-171.434814	27.775997	-170.485199	100					3.798187	-0.02913		
-171.421494	0.984622	-171.421494	27.774618	-170.468536	100					3.811508	-0.029105		
-171.408157	0.978148	-171.408157	27.772978	-170.451874	100					3.824844	-0.029081		
-171.394836	0.97395	-171.394836	27.771557	-170.435226	100					3.838165	-0.029056		
-171.381516	0.969348	-171.381516	27.77092	-170.418564	100					3.851486	-0.029032		
-171.368179	0.965038	-171.368179	27.769323	-170.401901	100					3.864822	-0.029008		
-171.354858	0.958712	-171.354858	27.767616	-170.385239	100					3.878143	-0.028971		
-171.341522	0.952923	-171.341522	27.766001	-170.368591	100					3.891479	-0.028935		
